Dipole_Debye,Polarizability_au,HOMO_eV,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,coord_types,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,LogP,RingCount,HeteroRing,FSP3,delta_PCE
4.13,107.12614,-12.5914,-0.477541297,0.5,10.21305479,11.93861058,0,1,2,2,2,1.6394,1,0,0,2.24
1.704,81.84366,-11.9095,-0.461883828,0.555555556,4.736862954,5.969305288,1,2,0,3,2,0.62928,0,0,0.333333333,2.82
4.882,107.994361,-11.5834,-0.224625316,0.583333333,0,0,0,0,1,2,1,0.6122,1,0,0,2.33
8.977,108.011613,-11.4858,-0.224440964,0.666666667,0,0,0,0,1,2,1,0.6122,1,0,0,1.36
1.319,91.209054,-11.6236,-0.476486705,0.555555556,5.106527395,5.969305288,1,2,1,3,1,1.4947,1,1,0,2.72
4.843,101.22076,-11.6027,-0.477049577,0.636363636,10.21305479,11.93861058,0,1,2,3,2,1.1445,1,1,0,2.89
1.677,117.909982,-10.4519,-0.4800777,0.833333333,10.84019487,5.969305288,1,2,2,2,3,0.641,1,0,0.222222222,2.88
3.163,106.91889,-11.4837,-0.321039149,0.8,9.786823206,7.595762327,0,0,2,1,1,0.4896,1,0,0,3.07
2.62,86.180383,-11.9577,-0.475372895,0.636363636,14.63020573,11.93861058,0,1,2,3,2,0.676,1,1,0,2.6
6.768,184.217431,-10.1678,-0.480086286,0.55,26.58029947,11.93861058,1,2,6,6,9,-2.2061,0,0,0.6,2.19
5.679,112.525224,-10.267,-0.480086286,0.583333333,16.15698348,5.969305288,1,2,3,3,5,-0.6854,0,0,0.714285714,2.29
4.527,61.209105,-10.9813,-0.369231444,0.571428571,11.46733495,0,0,1,2,2,2,-1.6529,0,0,0.333333333,3.25
2.083,239.804731,-10.3169,-0.481230383,0.76,15.16017895,12.06254536,0,1,2,3,7,3.78,3,0,0.3,2.16
